id,label,area,perimeter,bounding_x,bounding_y,bounding_width,bounding_height,circularity,compactness,convexity
0,Ferrite Bead,11552,429.865,1402,1043,149,94,0.785637,0.06251897,0.990313
1,Ferrite Bead,11570,434.049,877,1034,151,102,0.771731,0.06141243,0.988762
2,Ferrite Bead,11598,428.056,408,1022,145,134,0.795446,0.06329958,0.99141
3,Ferrite Bead,11538,424.995,1223,1000,145,90,0.802736,0.06387972,0.991919
4,Ferrite Bead,11592,427.227,735,1000,144,134,0.798121,0.06351243,0.991024
5,Ferrite Bead,11569,431.421,83,998,97,150,0.781092,0.06215736,0.989819
6,Ferrite Bead,11581,432.902,573,997,120,150,0.776565,0.06179705,0.9911
7,Ferrite Bead,11585,432.115,239,982,149,125,0.779698,0.06204639,0.991188
8,Ferrite Bead,11574,433.22,1089,979,101,151,0.774954,0.06166884,0.989484
9,Ferrite Bead,11565,428.794,1397,845,148,93,0.790421,0.06289967,0.989265
10,Ferrite Bead,11567,431.907,722,840,150,99,0.779203,0.06200704,0.989478
11,Ferrite Bead,11593,428.985,241,834,146,132,0.791629,0.06299585,0.991745
12,Ferrite Bead,11579,434.434,881,829,151,106,0.770997,0.06135403,0.99042
13,Ferrite Bead,11583,435.647,44,821,152,110,0.766941,0.06103123,0.989408
14,Ferrite Bead,11586,435.203,401,816,114,151,0.768738,0.0611742,0.989918
15,Ferrite Bead,11575,434.534,593,803,104,151,0.770341,0.06130182,0.988725
16,Ferrite Bead,11589,430.6,1079,802,127,148,0.785464,0.06250525,0.991191
17,Ferrite Bead,11561,426.652,1270,799,91,146,0.798101,0.0635109,0.98905
18,Ferrite Bead,11531,424.167,51,668,144,90,0.805386,0.06409058,0.993196
19,Ferrite Bead,11596,427.713,218,635,144,136,0.796585,0.06339026,0.991535
20,Ferrite Bead,11559,427.723,555,634,147,92,0.794006,0.06318502,0.988541
21,Ferrite Bead,11575,431.907,1222,633,151,98,0.779742,0.06204992,0.989612
22,Ferrite Bead,11575,433.99,1053,629,151,109,0.772274,0.06145564,0.990205
23,Ferrite Bead,11564,426.652,753,627,91,146,0.798309,0.06352738,0.989984
24,Ferrite Bead,11582,430.943,396,610,148,126,0.78374,0.06236806,0.991355
25,Ferrite Bead,11575,434.919,1410,605,108,151,0.769012,0.06119604,0.989867
26,Ferrite Bead,11565,432.149,923,601,99,151,0.778228,0.06192939,0.990324
27,Ferrite Bead,11576,433.931,901,462,151,116,0.772551,0.06147763,0.990629
28,Ferrite Bead,11595,427.813,1234,460,133,145,0.796108,0.06335228,0.991237
29,Ferrite Bead,11582,435.262,1394,458,152,106,0.768264,0.06113654,0.989534
